,Name,Code,Big Theme,Theme,Source,Source acronym,Comment,Last update,Frequency,Measure,Unit,Status
Abate - bois - peso das carcaças,Abate - bois - peso das carcaças,ABATE12_ABPEBO12,Macroeconômico,Produção,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",IBGE/Coagro,"O abate de animais é mensurado por sua quantidade ou peso total das carcaças, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais estando sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino.  Entende-se como bois, o bovino macho e adulto, com no mínimo dois anos de idade. Inclui o macho não castrado (touro).  Nota: Para 1975 - 1996: Pesquisa Mensal de Abate de Animais, IBGE.  Até 1996 as informações sobre o número de cabeças abatidas e o peso total das carcaças dos rebanhos  tem como unidade de coleta os estabelecimentos cuja atividade principal ou secundária era o abate de animais. A partir de 1997 a pesquisa passou a ser trimestral, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais e estão sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino.  Mais Informações:  <a href=""../doc/CNAE 2.0 Classes.pdf"">CNAE 2.0 - Notas Explicativas </a> , https://sidra.ibge.gov.br/tabela/1092,  https://metadados.ibge.gov.br/consulta/estatisticos/operacoes-estatisticas/AX",2020-12-10T09:56:00.64-03:00,Mensal,Tonelada,mil,A
Abate - bovinos - peso das carcaças,Abate - bovinos - peso das carcaças,ABATE12_ABPEBV12,Macroeconômico,Produção,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",IBGE/Coagro,"O abate de animais é mensurado por sua quantidade ou peso total das carcaças, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais estando sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino.  Entende-se que bovinos é o gado doméstico dividido em categoria conforme sexo e idade. Nota: Para 1975 - 1996: Pesquisa Mensal de Abate de Animais, IBGE.  Até 1996 as informações sobre o número de cabeças abatidas e o peso total das carcaças dos rebanhos  tem como unidade de coleta os estabelecimentos cuja atividade principal ou secundária era o abate de animais. A partir de 1997 a pesquisa passou a ser trimestral, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais e estão sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino.  Mais Informações:  <a href=""../doc/CNAE 2.0 Classes.pdf"">CNAE 2.0 - Notas Explicativas </a> , https://sidra.ibge.gov.br/tabela/1092,  https://metadados.ibge.gov.br/consulta/estatisticos/operacoes-estatisticas/AX",2020-12-10T09:56:00.64-03:00,Mensal,Tonelada,mil,A
Abate - frangos - peso das carcaças,Abate - frangos - peso das carcaças,ABATE12_ABPEFR12,Macroeconômico,Produção,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",IBGE/Coagro,"O abate de animais é mensurado por sua quantidade ou peso total das carcaças, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais estando sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino.  Para frangos, aves jovens, geralmente com até 60 dias de idade, incluindo os ""frangões"", resultado de melhoramento.  Nota: Para 1975 - 1996: Pesquisa Mensal de Abate de Animais, IBGE.  Até 1996 as informações sobre o número de cabeças abatidas e o peso total das carcaças dos rebanhos  tem como unidade de coleta os estabelecimentos cuja atividade principal ou secundária era o abate de animais. A partir de 1997 a pesquisa passou a ser trimestral, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais e estão sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino. Mais Informações:  <a href=""../doc/CNAE 2.0 Classes.pdf"">CNAE 2.0 - Notas Explicativas </a> , https://sidra.ibge.gov.br/tabela/1092,  https://metadados.ibge.gov.br/consulta/estatisticos/operacoes-estatisticas/AX",2020-12-10T09:56:00.64-03:00,Mensal,Tonelada,mil,A
Abate - novilhos - peso das carcaças,Abate - novilhos - peso das carcaças,ABATE12_ABPENO12,Macroeconômico,Produção,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",IBGE/Coagro,"O abate de animais é mensurado por sua quantidade ou peso total das carcaças, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais estando sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino.  Para novilhos, considera-se bovinos machos jovens com menos de dois anos de idade. Sendo incluso na categoria vitelos, bezerros e novilhos.  Como carcaça, entende-se que é o animal abatadito,formado por massas musculares e ossos. Nota: A partir de 1997 a pesquisa passou a ser trimestral, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais e estão sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino. Mais Informações:  <a href=""../doc/CNAE 2.0 Classes.pdf"">CNAE 2.0 - Notas Explicativas </a> , https://sidra.ibge.gov.br/tabela/1092,  https://metadados.ibge.gov.br/consulta/estatisticos/operacoes-estatisticas/AX",2020-12-10T09:56:00.64-03:00,Mensal,Tonelada,mil,A
Abate - suínos - peso das carcaças,Abate - suínos - peso das carcaças,ABATE12_ABPESU12,Macroeconômico,Produção,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",IBGE/Coagro,"O abate de animais é mensurado por sua quantidade ou peso total das carcaças, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais estando sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino.  Para suínos, é facultativo a retirada de couro, cabeça e pés. Como carcaça, entende-se que é o animal abatadito,formado por massas musculares e ossos. Nota: Para 1975 - 1996: Pesquisa Mensal de Abate de Animais, IBGE.  Até 1996 as informações sobre o número de cabeças abatidas e o peso total das carcaças dos rebanhos  tem como unidade de coleta os estabelecimentos cuja atividade principal ou secundária era o abate de animais. A partir de 1997 a pesquisa passou a ser trimestral, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais e estão sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino. Mais Informações:  <a href=""../doc/CNAE 2.0 Classes.pdf"">CNAE 2.0 - Notas Explicativas </a> , https://sidra.ibge.gov.br/tabela/1092,  https://metadados.ibge.gov.br/consulta/estatisticos/operacoes-estatisticas/AX",2020-12-10T09:56:00.64-03:00,Mensal,Tonelada,mil,A
Abate - vacas - peso das carcaças,Abate - vacas - peso das carcaças,ABATE12_ABPEVA12,Macroeconômico,Produção,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",IBGE/Coagro,"O abate de animais é mensurado por sua quantidade ou peso total das carcaças, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais estando sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino.  Para vacas, bovino fêmea adulta, com no mínimo dois anos de idade, independente de já ter reproduzido ou não, é facultativo a retirada de couro, cabeça e pés. Como carcaça, entende-se que é o animal abatadito,formado por massas musculares e ossos. Nota: Para 1975 - 1996: Pesquisa Mensal de Abate de Animais, IBGE.  Até 1996 as informações sobre o número de cabeças abatidas e o peso total das carcaças dos rebanhos  tem como unidade de coleta os estabelecimentos cuja atividade principal ou secundária era o abate de animais. A partir de 1997 a pesquisa passou a ser trimestral, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais e estão sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino.  Mais Informações:  <a href=""../doc/CNAE 2.0 Classes.pdf"">CNAE 2.0 - Notas Explicativas </a> , https://sidra.ibge.gov.br/tabela/1092,  https://metadados.ibge.gov.br/consulta/estatisticos/operacoes-estatisticas/AX",2020-12-10T09:56:00.64-03:00,Mensal,Tonelada,mil,A
Abate - bois - qde.,Abate - bois - qde.,ABATE12_ABQUBO12,Macroeconômico,Produção,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",IBGE/Coagro,"O abate de animais é mensurado por sua quantidade ou peso total das carcaças, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais estando sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino.  Para bois, considera-se o bovino macho adulto, com no mínimo dois anos de idade. Inclui o macho não castrado (touro). Neste caso, a quantidade é unitária, por cabeça de animal.  Nota: Para 1975 - 1996: Pesquisa Mensal de Abate de Animais, IBGE.  Até 1996 as informações sobre o número de cabeças abatidas e o peso total das carcaças dos rebanhos  tem como unidade de coleta os estabelecimentos cuja atividade principal ou secundária era o abate de animais. A partir de 1997 a pesquisa passou a ser trimestral, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais e estão sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino. Mais Informações:  <a href=""../doc/CNAE 2.0 Classes.pdf"">CNAE 2.0 - Notas Explicativas </a> , https://sidra.ibge.gov.br/tabela/1092,  https://metadados.ibge.gov.br/consulta/estatisticos/operacoes-estatisticas/AX",2020-12-10T09:56:00.64-03:00,Mensal,Cabeça,mil,A
Abate - bovinos - qde.,Abate - bovinos - qde.,ABATE12_ABQUBV12,Macroeconômico,Produção,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",IBGE/Coagro,"O abate de animais é mensurado por sua quantidade ou peso total das carcaças, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais estando sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino.  Entende-se que bovinos é o gado doméstico dividido em categoria conforme sexo e idade. Neste caso, a quantidade é unitária, por cabeça de animal.  Nota: Para 1975 - 1996: Pesquisa Mensal de Abate de Animais, IBGE.  Até 1996 as informações sobre o número de cabeças abatidas e o peso total das carcaças dos rebanhos  tem como unidade de coleta os estabelecimentos cuja atividade principal ou secundária era o abate de animais. A partir de 1997 a pesquisa passou a ser trimestral, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais e estão sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino. Mais Informações:  <a href=""../doc/CNAE 2.0 Classes.pdf"">CNAE 2.0 - Notas Explicativas </a> , https://sidra.ibge.gov.br/tabela/1092,  https://metadados.ibge.gov.br/consulta/estatisticos/operacoes-estatisticas/AX",2020-12-10T09:56:00.64-03:00,Mensal,Cabeça,mil,A
Abate - frangos - qde.,Abate - frangos - qde.,ABATE12_ABQUFR12,Macroeconômico,Produção,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",IBGE/Coagro,"O abate de animais é mensurado por sua quantidade ou peso total das carcaças, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais estando sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino.  Para frangos, aves jovens, geralmente com até 60 dias deidade, incluindo os ""frangões"", resultado de melhormento.  Neste caso, a quantidade é unitária, por cabeça de animal.  Nota: Para 1975 - 1996: Pesquisa Mensal de Abate de Animais, IBGE.  Até 1996 as informações sobre o número de cabeças abatidas e o peso total das carcaças dos rebanhos  tem como unidade de coleta os estabelecimentos cuja atividade principal ou secundária era o abate de animais. A partir de 1997 a pesquisa passou a ser trimestral, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais e estão sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino.  Mais Informações:  <a href=""../doc/CNAE 2.0 Classes.pdf"">CNAE 2.0 - Notas Explicativas </a> , https://sidra.ibge.gov.br/tabela/1092,  https://metadados.ibge.gov.br/consulta/estatisticos/operacoes-estatisticas/AX",2020-12-10T09:56:00.64-03:00,Mensal,Cabeça,mil,A
Abate - novilhos - qde.,Abate - novilhos - qde.,ABATE12_ABQUNO12,Macroeconômico,Produção,"Instituto Brasileiro de Geografia e Estatística, Pesquisa Trimestral do Abate de Animais (IBGE/Coagro)",IBGE/Coagro,"O abate de animais é mensurado por sua quantidade ou peso total das carcaças, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais estando sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino.   Para novilhos, considera-se bovinos machos jovens com menos de dois anos de idade. Sendo incluso na categoria vitelos, bezerros e novilhos. Neste caso, a quantidade é unitária, por cabeça de animal.  Nota: A partir de 1997 a pesquisa passou a ser trimestral, tendo como unidade de coleta todos os estabelecimentos que efetuam a atividade de abate de animais e estão sob inspeção federal, estadual ou municipal, ou seja, não está sendo considerado o abate clandestino. Mais Informações:  <a href=""../doc/CNAE 2.0 Classes.pdf"">CNAE 2.0 - Notas Explicativas </a> , https://sidra.ibge.gov.br/tabela/1092,  https://metadados.ibge.gov.br/consulta/estatisticos/operacoes-estatisticas/AX",2020-12-10T09:56:00.64-03:00,Mensal,Cabeça,mil,A
